OGC_FID,OSM_ID,OSM_WAY_ID,NAME,TYPE,AEROWAY,AMENITY,ADMIN_LEVE,BARRIER,BOUNDARY,BUILDING,CRAFT,GEOLOGICAL,HISTORIC,LAND_AREA,LANDUSE,LEISURE,MAN_MADE,MILITARY,NATURAL,OFFICE,PLACE,SHOP,SPORT,TOURISM,OTHER_TAGS
75,,223502956,People's Life Care Hospital,,,hospital,,,,hospital,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""2000-2013"", ""column:size""=>""9x12"", ""facility:icu""=>""no"", ""occupant:day""=>""39"", ""capacity:beds""=>""15"", ""operator:type""=>""private"", ""roof:material""=>""concrete"", ""building:b"
76,,223503869,OM Samaj Hospital,,,hospital,,,,hospital,,,,,,,,,,,,,,,"""operator""=>""Om Samaj Hospital"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""2000-2013"", ""column:size""=>""12x12"", ""occupant:day""=>""80"", ""roof:material""=>""metal"", ""building:bay:x""=>""2"", ""building:bay:y""=>""9"", ""floor:"
77,,223504496,Comrehebsive Swasha Sanstha,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""Comrehebsive Swasha Sanstha"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""column:size""=>""9x9"", ""facility:icu""=>""no"", ""occupant:day""=>""30"", ""capacity:beds""=>""2"", ""operator:type"""
78,,223518696,Aalapot Health Post,,,health_post,,,,health_post,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1960-1990"", ""facility:icu""=>""no"", ""occupant:day""=>""20-25"", ""capacity:beds""=>""3"", ""operator:type""=>""government"", ""roof:material""=>""concrete"", ""building:bay:x""=>""3"", ""build"
79,,223518699,Bhadrabas Community Health Service Center,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""facility:icu""=>""no"", ""occupant:day""=>""19"", ""capacity:beds""=>""2"", ""operator:type""=>""government"", ""roof:material""=>""concrete"", ""building:bay:x""=>""2"", ""building"
80,,223934498,Khokana Upa-Swatha Chauki,,,health_post,,,,health_post,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""facility:icu""=>""no"", ""occupant:day""=>""20"", ""capacity:beds""=>""1"", ""operator:type""=>""government"", ""roof:material""=>""concrete"", ""building:bay:x""=>""4"", ""building"
81,,224266770,Community Health Promotion Centre,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""phone""=>""01-5582499"", ""operator""=>""Community Health Promotion Centre"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""facility:icu""=>""no"", ""occupant:day""=>""10"", ""capacity:beds""=>""0"", ""operator:type""=>""co"
82,,224378832,Bishankhu Narayan Health Post,,,health_post,,,,health_post,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""gabled"", ""shape:plan""=>""narrow_long"", ""start_date""=>""1990-2000"", ""facility:icu""=>""no"", ""occupant:day""=>""22"", ""capacity:beds""=>""0"", ""operator:type""=>""community"", ""roof:material""=>""metal"", ""building:bay:x""=>""4"", ""building:b"
83,,224387570,District Pre-Primary Health Post,,,health_post,,,,health_post,,,,,,,,,,,,,,,"""alt_name""=>""District Development committe"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""L-shape"", ""start_date""=>""1990-2000"", ""column:size""=>""9x12"", ""facility:icu""=>""no"", ""occupant:day""=>""15"", ""capacity:beds""=>""0"", ""operator:type""=>""government"
84,,224458571,Baluwatar Polyclinic,,,hospital,,,,clinic,,,,,,,,,,,,,,,"""operator""=>""Baluwatar Polyclinic"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""2000-2013"", ""column:size""=>""12x12"", ""facility:icu""=>""no"", ""occupant:day""=>""7"", ""capacity:beds""=>""0"", ""operator:type""=>""private"", ""roof"
85,,224659298,Kabhresthali Health Post,,,health_post,,,,health_post,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""Kabhresthali Health Post"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""column:size""=>""9x9"", ""facility:icu""=>""no"", ""occupant:day""=>""20-30"", ""capacity:beds""=>""1"", ""operator:type"""
86,,224724636,Diyas Hospital,,,hospital,,,,hospital,,,,,,,,,,,,,,,"""oid""=>""1"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""column:size""=>""9x12"", ""facility:icu""=>""yes"", ""occupant:day""=>""30-40"", ""capacity:beds""=>""25"", ""operator:type""=>""private"", ""roof:material""=>""concre"
87,,224951447,ktm metropolitan community city health clinic,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""ktm metropolitan community city health clinic"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""L-shape"", ""start_date""=>""before_1960"", ""facility:icu""=>""no"", ""occupant:day""=>""4"", ""capacity:beds""=>""0"", ""operator:type""=>""comm"
88,,225014818,Godavari Sub Health Post,,,health_post,,,,health_post,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""Godavari Sub Health Post"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""narrow_long"", ""start_date""=>""1990-2000"", ""facility:icu""=>""no"", ""occupant:day""=>""31"", ""capacity:beds""=>""0"", ""operator:type""=>""government"", ""roof:mat"
89,,225029312,Goldhunga Upa Swastha Chauki,,,health_post,,,,health_post,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""Goldhunga Upa Swastha Chauki"", ""retrofit""=>""no"", ""roof:shape""=>""gabled"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""facility:icu""=>""no"", ""occupant:day""=>""7"", ""capacity:beds""=>""0"", ""operator:type""=>""government"", ""roo"
90,,225121718,Shree Gagalphedi Swasthya Chauki,,,health_post,,,,health_post,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""facility:icu""=>""no"", ""occupant:day""=>""10"", ""capacity:beds""=>""1"", ""operator:type""=>""government"", ""roof:material""=>""concrete"", ""building:bay:x""=>""2"", ""building"
91,,225240575,Lapsiphedi Health Post,,,health_post,,,,health_post,,,,,,,,,,,,,,,"""phone""=>""9741028256"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""L-shape"", ""start_date""=>""1990-2000"", ""facility:icu""=>""no"", ""occupant:day""=>""30"", ""capacity:beds""=>""0"", ""operator:type""=>""government"", ""roof:material""=>""metal"", ""building:bay:x"""
92,,225273381,Jitpurfedi Swasthya Upachowki,,,hospital,,,,health_post,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""column:size""=>""9x12"", ""facility:icu""=>""no"", ""occupant:day""=>""59"", ""capacity:beds""=>""2"", ""operator:type""=>""government"", ""roof:material""=>""concrete"", ""building"
93,,225411941,Vision Polyclinic,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""column:size""=>""9x9"", ""facility:icu""=>""no"", ""occupant:day""=>""28"", ""capacity:beds""=>""0"", ""operator:type""=>""private"", ""roof:material""=>""concrete"", ""building:bay"
94,,225422527,Lokanthali Sub Health Post,,,health_post,,,,health_post,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""gabled"", ""shape:plan""=>""rectangular"", ""start_date""=>""1960-1990"", ""facility:icu""=>""no"", ""occupant:day""=>""60"", ""capacity:beds""=>""0"", ""operator:type""=>""government"", ""roof:material""=>""metal"", ""building:bay:x""=>""3"", ""building:"
95,,225431364,Shree Kunta Polyclinic and Research Center,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""U-shape"", ""start_date""=>""2000-2013"", ""column:size""=>""9x12"", ""facility:icu""=>""no"", ""occupant:day""=>""10"", ""capacity:beds""=>""0"", ""operator:type""=>""private"", ""roof:material""=>""concrete"", ""building:bay:x"""
96,,225518413,Baluwa Upa Swasthya Chowki,,,health_post,,,,health_post,,,,,,,,,,,,,,,"""operator""=>""Baluwa Upa Swasthya Chowki"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""L-shape"", ""start_date""=>""1990-2000"", ""column:size""=>""9x9"", ""facility:icu""=>""no"", ""occupant:day""=>""24"", ""capacity:beds""=>""0"", ""operator:type""=>""government"", """
97,,225594248,Nayapati Health Post,,,health_post,,,,health_post,,,,,,,,,,,,,,,"""phone""=>""9841299247"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""2000-2013"", ""column:size""=>""9x9"", ""facility:icu""=>""no"", ""occupant:day""=>""32"", ""capacity:beds""=>""2"", ""operator:type""=>""government"", ""roof:material""="
98,,225594254,Suntol Sub-Health Post,,,health_post,,,,health_post,,,,,,,,,,,,,,,"""phone""=>""9841117380"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""facility:icu""=>""no"", ""occupant:day""=>""15"", ""capacity:beds""=>""1"", ""operator:type""=>""government"", ""roof:material""=>""concrete"", ""building"
99,,225641956,Suryavinayak Polyclinic,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""column:size""=>""9x9"", ""facility:icu""=>""no"", ""occupant:day""=>""35"", ""capacity:beds""=>""0"", ""operator:type""=>""private"", ""roof:material""=>""concrete"", ""building:bay"
100,,225659856,Centre For Liver Disease,,,hospital,,,,hospital,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""Centre For Liver Disease"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""2000-2013"", ""column:size""=>""16x16"", ""facility:icu""=>""no"", ""occupant:day""=>""20"", ""capacity:beds""=>""3"", ""operator:type""="
101,,225663312,Apollo Polyclinic,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""oid""=>""1"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""column:size""=>""12x12"", ""facility:icu""=>""no"", ""occupant:day""=>""15"", ""capacity:beds""=>""0"", ""operator:type""=>""private"", ""roof:material""=>""concrete"","
102,,225708079,Bhaisharjya Washa Pasha,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""operator""=>""Bhaisharjya Washa Pasha"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""multiprojected"", ""start_date""=>""2000-2013"", ""column:size""=>""9x9"", ""facility:icu""=>""no"", ""occupant:day""=>""15"", ""operator:type""=>""private"", ""roof:material""=>""conc"
103,,225708080,Lokeshwor Pharma,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""column:size""=>""9x9"", ""facility:icu""=>""no"", ""occupant:day""=>""10"", ""capacity:beds""=>""0"", ""operator:type""=>""private"", ""roof:material""=>""concrete"", ""building:bay"
104,,225708081,Santosh Drug House,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""alt_name""=>""Ashma Medical Hall"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""column:size""=>""9x9"", ""facility:icu""=>""no"", ""occupant:day""=>""8"", ""capacity:beds""=>""0"", ""operator:type""=>""private"", ""roof:mat"
105,,226044702,Chhampi Sub Health Post,,,health_post,,,,health_post,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""column:size""=>""9x9"", ""facility:icu""=>""no"", ""occupant:day""=>""16"", ""capacity:beds""=>""1"", ""operator:type""=>""government"", ""roof:material""=>""concrete"", ""building:"
106,,226044703,Devichour Health Post,,,health_post,,,,health_post,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1960-1990"", ""facility:icu""=>""no"", ""occupant:day""=>""17"", ""capacity:beds""=>""1"", ""operator:type""=>""government"", ""roof:material""=>""concrete"", ""building:bay:x""=>""2"", ""building"
107,,226053389,Samudayik Dental Hospital,,,clinic,,,,hospital,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""L-shape"", ""start_date""=>""1990-2000"", ""column:size""=>""9x9"", ""facility:icu""=>""no"", ""occupant:day""=>""30"", ""capacity:beds""=>""0"", ""operator:type""=>""private"", ""roof:material""=>""concrete"", ""building:bay:x""="
108,,226056945,Upakar National Health Care Center,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""triangular"", ""start_date""=>""2000-2013"", ""column:size""=>""14x14"", ""facility:icu""=>""no"", ""occupant:day""=>""8"", ""capacity:beds""=>""0"", ""operator:type""=>""private"", ""roof:material""=>""concrete"", ""building:bay"
109,,226061819,Sewa Dental Home,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""column:size""=>""9x9"", ""facility:icu""=>""no"", ""occupant:day""=>""7"", ""capacity:beds""=>""0"", ""operator:type""=>""private"", ""roof:material""=>""concrete"", ""building:bay:"
110,,226356620,Praptee Polyclinic,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""operator""=>""Praptee Polyclinic"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""column:size""=>""9x9"", ""facility:icu""=>""no"", ""occupant:day""=>""4"", ""capacity:beds""=>""0"", ""operator:type""=>""private"", ""roof:mat"
111,,226396927,Kshamadevi Polyclinic,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""operator""=>""Kshamadevi Polyclinic"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""column:size""=>""9x12"", ""facility:icu""=>""no"", ""occupant:day""=>""10"", ""capacity:beds""=>""0"", ""operator:type""=>""private"", ""roo"
112,,226396928,Safal medical Center,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""operator""=>""Safal medical Center"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""2000-2013"", ""column:size""=>""14x14"", ""facility:icu""=>""no"", ""occupant:day""=>""10"", ""capacity:beds""=>""0"", ""operator:type""=>""private"", ""roo"
113,,226396929,Trishuli Medical & Polyclinic,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""operator""=>""Trishuli Medical & Polyclinic"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""narrow_long"", ""start_date""=>""2000-2013"", ""column:size""=>""9x12"", ""facility:icu""=>""no"", ""occupant:day""=>""10"", ""capacity:beds""=>""0"", ""operator:type""=>""privat"
114,,226397159,Asha Dental clinic,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""operator""=>""Asha Dental clinic"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""2000-2013"", ""column:size""=>""14x14"", ""facility:icu""=>""no"", ""occupant:day""=>""10"", ""capacity:beds""=>""0"", ""operator:type""=>""private"", ""roof:"
115,,226397160,Jagaran Dental Home,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""operator""=>""Jagaran Denal Home"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""column:size""=>""9x9"", ""facility:icu""=>""no"", ""occupant:day""=>""10"", ""capacity:beds""=>""0"", ""operator:type""=>""private"", ""roof:ma"
116,,226423598,"Diabetes, Thyroid and Endocrinology",,,clinic,,,,clinic,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""Diabetes, Thyroid and Endocrinology"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""T-shape"", ""start_date""=>""1990-2000"", ""column:size""=>""12x12"", ""facility:icu""=>""yes"", ""capacity:beds""=>""15"", ""operator:type""=>""private"", """
117,,226429179,Aaram Dental Care Home,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""Aaram Dental Care Home"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""2000-2013"", ""column:size""=>""12x12"", ""facility:icu""=>""no"", ""capacity:beds""=>""0"", ""operator:type""=>""private"", ""roof:materi"
118,,226603884,Lagankhel Poly Clinic,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""Lagankhel Poly Clinic"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""L-shape"", ""start_date""=>""1960-1990"", ""facility:icu""=>""no"", ""occupant:day""=>""5"", ""capacity:beds""=>""0"", ""operator:type""=>""private"", ""roof:material""=>""co"
119,,226833777,Bahirigaun Sub Health Post,,,health_post,,,,health_post,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""2000-2013"", ""column:size""=>""9x9"", ""facility:icu""=>""no"", ""occupant:day""=>""18"", ""capacity:beds""=>""1"", ""operator:type""=>""government"", ""roof:material""=>""concrete"", ""building:"
120,,226833778,Chitubihar Sub Health Post,,,health_post,,,,health_post,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""facility:icu""=>""no"", ""occupant:day""=>""30"", ""capacity:beds""=>""1"", ""operator:type""=>""government"", ""roof:material""=>""metal"", ""building:bay:x""=>""2"", ""building:ba"
121,,226833779,Chobar Sub Health Post,,,health_post,,,,health_post,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""facility:icu""=>""no"", ""occupant:day""=>""20-25"", ""capacity:beds""=>""1"", ""operator:type""=>""government"", ""roof:material""=>""concrete"", ""building:bay:x""=>""2"", ""build"
122,,226835291,Chinese People Hospital,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""2000-2013"", ""column:size""=>""12x12"", ""facility:icu""=>""no"", ""occupant:day""=>""35"", ""capacity:beds""=>""0"", ""operator:type""=>""private"", ""roof:material""=>""concrete"", ""building:b"
123,,226835292,Riza Polyclinic and Diagonostic Centre,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""2000-2013"", ""column:size""=>""9x12"", ""facility:icu""=>""no"", ""occupant:day""=>""26"", ""capacity:beds""=>""2"", ""operator:type""=>""private"", ""roof:material""=>""concrete"", ""building:ba"
124,,226852863,Hamro Sahayatri Hosp and Birthing Center,,,hospital,,,,hospital,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""Hamro Sahayatri Hosp and Birthing Center"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""multiprojected"", ""start_date""=>""2000-2013"", ""column:size""=>""9x12"", ""facility:icu""=>""no"", ""occupant:day""=>""24"", ""capacity:beds""=>""25"
125,,226883918,Jorpati Sub Health Post,,,health_post,,,,health_post,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""narrow_long"", ""start_date""=>""1990-2000"", ""column:size""=>""12x12"", ""facility:icu""=>""no"", ""occupant:day""=>""45"", ""capacity:beds""=>""1"", ""operator:type""=>""government"", ""roof:material""=>""concrete"", ""buildin"
126,,226884056,Mulpani Primary Health Care Center,,,health_post,,,,clinic,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""narrow_long"", ""start_date""=>""1990-2000"", ""facility:icu""=>""no"", ""occupant:day""=>""31"", ""capacity:beds""=>""2"", ""operator:type""=>""government"", ""roof:material""=>""concrete"", ""building:bay:x""=>""6"", ""building"
127,,226885065,Medicare National Hospital and Research Center,,,hospital,,,,hospital,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""L-shape"", ""start_date""=>""1990-2000"", ""column:size""=>""22 dia"", ""facility:icu""=>""yes"", ""occupant:day""=>""406"", ""capacity:beds""=>""100"", ""operator:type""=>""private"", ""roof:material""=>""concrete"", ""building:"
128,,226936305,Hardik Polyclinic,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""operator""=>""Hardik Polyclinic"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""2000-2013"", ""column:size""=>""9x12"", ""facility:icu""=>""no"", ""occupant:day""=>""28"", ""capacity:beds""=>""5"", ""operator:type""=>""private"", ""roof:ma"
129,,226969445,Sipadol Janaswastha,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""operator""=>""Sipadol Janaswastha"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""L-shape"", ""start_date""=>""2000-2013"", ""column:size""=>""9x12"", ""facility:icu""=>""no"", ""occupant:day""=>""25"", ""capacity:beds""=>""0"", ""operator:type""=>""government"", ""roof:m"
130,,226972113,Binayak Pharma & Clinic,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""operator""=>""Binayak Pharma & Clinic"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""2000-2013"", ""column:size""=>""9x9"", ""facility:icu""=>""no"", ""capacity:beds""=>""0"", ""operator:type""=>""private"", ""roof:material""=>""concret"
131,,226972114,Khwopa Pharma & Clinic,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""operator""=>""Khwopa Pharma & Clinic"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""2000-2013"", ""column:size""=>""9x12"", ""facility:icu""=>""no"", ""occupant:day""=>""5"", ""capacity:beds""=>""0"", ""operator:type""=>""private"", ""roo"
132,,226974433,Dental Temple,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""operator""=>""Dental Temple"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""multiprojected"", ""start_date""=>""2000-2013"", ""facility:icu""=>""no"", ""occupant:day""=>""10-15"", ""capacity:beds""=>""0"", ""operator:type""=>""private"", ""roof:material""=>""concrete"","
133,,226974435,Venus International Hospital,,,hospital,,,,hospital,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""Venus International Hospital"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""column:size""=>""12x12"", ""facility:icu""=>""yes"", ""capacity:beds""=>""50"", ""operator:type""=>""private"", ""roo"
134,,226978805,New Pashupati Medical clinic,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""operator""=>""New Pashupati Medical clinic"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""2000-2013"", ""column:size""=>""9x12"", ""facility:icu""=>""no"", ""occupant:day""=>""5-8"", ""capacity:beds""=>""0"", ""operator:type""=>""privat"
135,,226978806,Shubham Polyclinic,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""operator""=>""Shubham Polyclinic"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""L-shape"", ""start_date""=>""1990-2000"", ""column:size""=>""9x9"", ""facility:icu""=>""no"", ""occupant:day""=>""20"", ""capacity:beds""=>""0"", ""operator:type""=>""private"", ""roof:materi"
136,,226981339,Kathmandu JanaSwastha,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""operator""=>""Kathmandu JanaSwastha"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""facility:icu""=>""no"", ""occupant:day""=>""5"", ""capacity:beds""=>""0"", ""operator:type""=>""government"", ""roof:material""=>""concret"
137,,227932709,Ramkot Health Post,,,health_post,,,,health_post,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""Ramkot Health Post"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""L-shape"", ""start_date""=>""1990-2000"", ""facility:icu""=>""no"", ""occupant:day""=>""42"", ""capacity:beds""=>""0"", ""operator:type""=>""government"", ""roof:material""=>""c"
138,,227933475,Sitapaila Sub Health Post,,,health_post,,,,health_post,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""Sitapaila Sub Health Post"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""2000-2013"", ""column:size""=>""9x9"", ""facility:icu""=>""no"", ""occupant:day""=>""45"", ""capacity:beds""=>""0"", ""operator:type""=>"
139,,228482743,Sundarijal Sub Health Post,,,health_post,,,,health_post,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""narrow_long"", ""start_date""=>""1990-2000"", ""facility:icu""=>""no"", ""occupant:day""=>""15"", ""capacity:beds""=>""1"", ""operator:type""=>""government"", ""roof:material""=>""metal"", ""building:bay:x""=>""3"", ""building:ba"
140,,229032303,Dukuchhap Sub Health Post,,,health_post,,,,health_post,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""L-shape"", ""start_date""=>""2000-2013"", ""column:size""=>""9x12"", ""facility:icu""=>""no"", ""occupant:day""=>""6"", ""capacity:beds""=>""1"", ""operator:type""=>""government"", ""roof:material""=>""concrete"", ""building:bay:"
141,,229036468,Chapagaun Sub Health Post,,,health_post,,,,health_post,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""facility:icu""=>""no"", ""occupant:day""=>""12"", ""capacity:beds""=>""1"", ""operator:type""=>""government"", ""roof:material""=>""concrete"", ""building:bay:x""=>""2"", ""building"
