OGC_FID,OSM_ID,OSM_WAY_ID,NAME,TYPE,AEROWAY,AMENITY,ADMIN_LEVE,BARRIER,BOUNDARY,BUILDING,CRAFT,GEOLOGICAL,HISTORIC,LAND_AREA,LANDUSE,LEISURE,MAN_MADE,MILITARY,NATURAL,OFFICE,PLACE,SHOP,SPORT,TOURISM,OTHER_TAGS
1130,,220411411,Shankhadhar Memorial School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""higher_secondary"", ""operator:type""=>""private"", ""student:count""=>""600"", ""building_count""=>""3"", ""personnel:count""=>""63"""
1131,,220411473,Welfare English School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""250"", ""building_count""=>""3"", ""personnel:count""=>""29"""
1132,,220414601,Gyan Bhumi Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""375"", ""building_count""=>""2"", ""personnel:count""=>""24"""
1133,,220414602,Him Rashmi High School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""950"", ""building_count""=>""7"", ""personnel:count""=>""60"""
1134,,220414603,Kathmandu Lincoln School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""lower_secondary"", ""operator:type""=>""private"", ""student:count""=>""120"", ""building_count""=>""1"", ""personnel:count""=>""28"""
1135,,220414604,Kindergarten Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""200"", ""building_count""=>""2"", ""personnel:count""=>""22"""
1136,,220414605,Maha Laxmi English High School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""550"", ""building_count""=>""3"", ""personnel:count""=>""35"""
1137,,220414606,New Crease English Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""300"", ""building_count""=>""3"", ""personnel:count""=>""25"""
1138,,220414607,North Valley English Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""430"", ""building_count""=>""2"", ""personnel:count""=>""34"""
1139,,220414608,Pragya Sadan Primary School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""primary"", ""operator:type""=>""private"", ""student:count""=>""150"", ""building_count""=>""2"", ""personnel:count""=>""12"""
1140,,220414609,Rajan Memorial Pre-School,,,kindergarten,,,,,,,,,,,,,,,,,,,"""isced:level""=>""kindergarten"", ""operator:type""=>""private"", ""student:count""=>""15"", ""building_count""=>""1"", ""personnel:count""=>""5"""
1141,,220424182,High Himalayan Academy,,,school,,,,school,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""High Himalayan Academy"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1960-1990"", ""isced:level""=>""kindergarten"", ""occupant:day""=>""60"", ""operator:type""=>""private"", ""roof:material""=>""concrete"""
1142,,220553630,Om Education Academy,,,school,,,,school,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""Om Education Academy"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""column:size""=>""9x9"", ""isced:level""=>""secondary"", ""occupant:day""=>""380"", ""operator:type""=>""private"", ""roof:mat"
1143,,220554777,Bal Bikash Lower Secondary School,,,school,,,,school,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""Bal Bikash Lower Secondary School"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""isced:level""=>""lower_secondary"", ""occupant:day""=>""215"", ""operator:type""=>""government"", ""roof:mat"
1144,,220555379,Central Public School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""government"", ""student:count""=>""250"", ""building_count""=>""5"", ""personnel:count""=>""30"""
1145,,220555380,Ursa Major Children's Academy,,,school,,,,school,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""Ursa Major Children's Academy"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""column:size""=>""9x9"", ""isced:level""=>""secondary"", ""occupant:day""=>""276"", ""operator:type""=>""private"","
1146,,220558190,Bishwa Bhasha Campus,,,college,,,,,,,,,,,,,,,,,,,"""isced:level""=>""college"", ""operator:type""=>""government"", ""student:count""=>""1600"", ""building_count""=>""2"", ""personnel:count""=>""56"""
1147,,220558191,Nepal Law Campus,,,college,,,,,,,,,,,,,,,,,,,"""isced:level""=>""college"", ""operator:type""=>""government"", ""student:count""=>""3300"", ""building_count""=>""3"", ""personnel:count""=>""150"""
1148,,220558788,Faiddhoka Primary School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""primary"", ""operator:type""=>""government"", ""student:count""=>""100"", ""building_count""=>""5"", ""personnel:count""=>""11"""
1149,,220558892,Ratna Rajya Campus,,,college,,,,,,,,,,,,,,,,,,,"""isced:level""=>""college"", ""operator:type""=>""government"", ""student:count""=>""7500"", ""building_count""=>""5"", ""personnel:count""=>""250"""
1151,,220559556,Devi Higher Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""higher_secondary"", ""operator:type""=>""government"", ""student:count""=>""900"", ""building_count""=>""6"", ""personnel:count""=>""60"""
1152,,220559557,Tathali Children Home,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""others"", ""operator:type""=>""private"", ""student:count""=>""47"", ""building_count""=>""3"", ""personnel:count""=>""17"""
